REGIAO;IMM2019;IMM2018;IMM2017;IMM2016;IMM2015;IMM2014;IMM2013;IMM2012;IMM2011;IMM2010;IMM2009;IMM2008;IMM2007;IMM2006;TUEF2021;TUEF2020;TUEF2019;TUEF2018;TUEF2017;TUEF2016;TUEF2015;TUEF2014;TUEF2013;TUEF2012;TUEF2011;TUEF2010;TUEB2021;TUEB2020;TUEB2019;TUEB2018;TUEB2017;TUEB2016;TUEB2015;TUEB2014;TUEB2013;TUEB2012;TUEB2011;TUEB2010;POPRUA2021;POPRUA2019;POPRUA2015;POPRUA2011;POPRUA2009;POPRUA2000;BF2020;BF2019;BF2018;BF2017;BF2016;BF2015;BF2014;BF2013;FV2021;FV2020;FV2019;FV2018;FV2017;FV2016;FV2015;FV2014;FV2013;FV2012;FV2011;FV2010;AGUA2010;AGUA2000;ESGOTO2010;ESGOTO2000;EXTPOB2020;EXTPOB2019;EXTPOB2018;EXTPOB2017;EXTPOB2016;EXTPOB2015;EXTPOB2014;EXTPOB2013
Iguatemi;59,72;59,33;58,5;58,79;57,49;53,11;55,64;54,17;57,29;54,99;54,52;55,76;53,24;52,54;112,57;114,86;116,88;110,04;106,57;106,32;107,98;110,49;110,47;111,45;110,02;109,73;107,65;97,65;99,94;98,54;110,69;107,01;46,43;45,35;96,46;41,08;36,78;110,12;1;58;0;0;0;4;9.156;10.596;11.908;9.028;12.128;18.073;7.031;5.189;7,14;7,29;7,48;7,67;7,87;9,58;8,29;8,52;8,77;7,34;8,63;8,88;2,04;3,83;14,21;29,52;10.046;12.949;15.145;15.796;13.993;12.809;10.261;7.653
Ipiranga;74,85;73,4;74,62;72,86;72,13;74,84;72,61;72,82;71,09;70,64;70,4;69,94;70,27;71;109,96;110,07;117,85;116,23;118,69;125,59;129,24;132,47;134,8;135,4;136,25;134,43;117,48;108,83;113;113,33;127,13;113,6;196;203,08;139,58;203,2;208,88;131,54;451;163;92;0;314;63;1.667;1.924;2.032;2.190;2.398;5.431;1.850;1.414;3,25;3,28;3,31;3,34;3,38;3,41;3,45;3,49;3,53;3,57;1,46;1,64;0,23;0,11;1,82;4,76;2.121;2.655;2.708;3.210;3.113;2.833;2.801;2.179
Itaim Bibi;78,39;79,01;79,9;78,99;78,25;79,64;78,95;76,91;76,04;77,2;78,45;76,85;76,83;75,23;70,77;75,84;83,95;91,41;95,61;103,8;109,58;115,19;121,53;128,18;135;143,14;69,6;67,29;74,62;79,26;87,02;97,11;189,48;198,19;154,85;212,69;241,27;147,09;57;59;50;0;25;109;239;340;342;207;232;631;161;138;0,75;0,75;0,76;0,76;0,77;0,77;0,78;0,69;0,7;0,71;0,72;0,73;0,12;0;0,16;0,3;333;432;469;257;288;278;373;310
Itaim Paulista;62,85;61,26;61,82;62,15;59,27;59,51;59,82;59,95;58,15;57,85;58,01;55,11;55,84;55,4;114,36;116,74;117,46;115,59;110,58;113,96;116,26;118,21;119,19;117,61;114,39;110,88;108,36;99,66;99,89;99,7;106,56;100,29;34,11;34,18;90,45;33,42;22,11;107,38;149;75;47;0;17;12;13.326;14.693;15.388;12.574;15.768;26.830;10.402;8.025;6,11;6,36;6,46;6,4;6,67;6,31;6,87;6,98;7,1;7,45;8,18;8,32;0,39;0,57;8,6;12,52;14.912;19.022;19.709;20.068;18.856;17.046;16.457;12.746
Itaquera;64,93;64,99;64,82;65,21;63,93;61,03;62,64;61,06;62,14;61,72;60;59,88;59,76;58,78;104,96;106,06;99,96;99,17;94,6;97,73;98,72;101,79;99,66;97,37;95,06;92,91;99,2;90,29;85,97;86,43;92,31;94,75;124,35;128,59;111,03;128,44;129,67;95,32;308;128;18;0;20;9;7.617;8.429;9.456;7.858;9.525;21.021;8.079;6.130;6,03;6,1;6,17;6,24;6,32;3,46;4,75;4,81;4,87;4,92;5,63;5,7;0,29;0,67;8,11;11,58;8.532;11.294;12.384;13.061;12.908;13.008;13.246;9.510
Jabaquara;71,07;70,34;70,89;68,73;69,73;68,43;68,91;67,01;67,89;67,77;66,76;64,97;64,67;64,49;82,11;85,07;86,44;86,52;84,92;85,98;90,8;91,28;92,98;93,45;92,63;91,77;81,95;76,28;76,95;77,91;85,66;83,66;107,36;110,47;92,47;107,18;99,87;94,58;345;244;290;0;239;41;6.068;7.213;7.657;6.516;7.537;15.585;4.958;3.510;16,42;16,55;16,71;16,87;17,03;15,92;17,36;17,76;17,95;17,88;19,58;19,78;1;0,28;8,31;9,11;7.919;9.581;10.104;9.742;8.820;7.896;8.302;6.040
Jaguara;71,56;69,39;73,39;73,94;71,9;73,08;73,58;67,03;70,16;69,49;69,55;68,31;67,53;69,16;170,97;174,98;67,73;66,73;168,39;63,26;168,64;165,25;162,75;161,06;161,17;166,73;148,45;136,55;53,15;54,32;150,07;157,83;186,31;194,8;87,5;189,95;245,06;75,67;12;4;27;0;10;3;328;346;373;300;324;930;232;222;2,67;2,68;2,68;2,69;2,69;2,7;2,7;2,71;2,09;2,09;2,1;2,1;0,28;0,29;3,19;9,79;352;524;482;432;417;383;501;416
Jaguaré;69,38;68,3;67,2;66,65;68,04;66,19;66,56;63,17;67,13;65,47;62,29;65,87;61,63;65,24;69,61;73,47;17,54;16,87;67,43;15,74;68,54;70,83;70,92;71,26;72,01;68,83;65,38;62,23;14,79;14,68;68,76;62,52;16,06;15,86;15,29;15,65;13,87;15,41;81;17;7;0;17;5;1.124;1.200;1.330;1.017;1.472;3.665;998;726;8,17;8,29;7,77;7,91;8,05;8,2;7,87;9,26;9,47;9,67;34,18;34,94;4,94;0,33;8,33;24,11;1.069;1.703;1.893;1.467;1.880;1.597;1.709;1.267
Jaraguá;61,85;61,18;61,44;60,63;59,54;58,27;59,24;57,89;59,3;57,86;57,05;56,66;54,51;53,84;117,13;119,28;67,99;67,33;115,29;67,34;120,71;121,65;117,75;121,11;119,72;115,7;113,19;103,55;60,22;59,69;114,96;112;16,7;16,29;53,28;14,66;8,74;65,19;30;9;6;0;6;3;9.255;10.131;11.433;8.558;11.366;18.211;6.758;4.613;13,63;13,89;14,2;14,52;14,85;20,79;16,85;15,27;14,21;14,04;14,44;14,79;1,95;1,3;13,29;15,28;11.968;14.166;14.322;13.812;12.999;12.533;10.405;7.720
Jardim Helena;62,97;62,4;61;61,38;61,08;61,54;59,8;60,15;58,17;58,13;58,01;57,74;56,96;56,7;101,58;101,9;275,2;287,75;97,62;308,74;101,62;103,18;104,03;104,66;102,62;99,94;96,76;86,71;242,21;254,83;96,27;100,91;724,74;749,95;480,95;820,57;855,6;436,11;36;20;12;0;8;1;8.557;8.035;8.605;5.995;9.753;18.722;8.263;5.824;12,31;12,45;12,59;12,73;12,87;13,01;13,05;13,16;13,53;13,64;6,05;6,11;2,32;5,47;16,32;24,46;8.862;12.174;10.854;9.931;12.525;12.531;12.931;8.893
