Num;Regiao;Total;Pop_10_a_14_anos;Pop_15_a_19_anos;Pop_20_a_24_anos;Pop_25_a_29_anos;Pop_30_a_34_anos;Pop_35_a_39_anos;Pop_40_a_44_anos;Pop_45_a_49_anos;Pop_50_a_54_anos;Pop_55_a_59_anos;Pop_60_a_64_anos;Pop_65_a_69_anos;Pop_70_a_74_anos;Pop_75_a_79_anos;Pop_80_a_84_anos;Pop_85_a_89_anos;Pop_90_a_94_anos;Pop_95_a_99_anos;Pop_100_anos_ou_mais;cod_rgi
207;Ribeira do Pombal;97591;7172;7533;7393;6932;6988;7545;7322;6527;5782;5511;4452;3472;3112;2310;1659;859;420;171;61;290025
208;Euclides da Cunha;93325;6843;7431;7269;6684;6724;7060;6776;6037;5464;5089;3963;3296;3005;2408;1596;917;426;214;72;290026
209;Cícero Dantas;58503;3681;4248;4551;4352;4435;4521;4146;4049;3746;3618;2805;2216;2029;1546;1146;578;288;87;32;290027
210;Jeremoabo;46941;3591;3874;3786;3655;3564;3550;3310;2991;2777;2637;2020;1514;1353;996;715;369;199;75;29;290028
211;Feira de Santana;637936;42937;44688;48886;47704;48013;53277;53052;43802;39558;35217;29133;22688;18697;13456;9486;5274;2885;1015;380;290029
212;Jacobina;158421;11651;11999;11701;11170;11638;12659;12055;10293;9217;8628;7214;5617;5055;3698;2476;1323;717;251;88;290030
213;Itaberaba;107715;7915;8523;8215;7658;7687;8475;8227;6655;6139;5953;4996;3815;3200;2541;1808;1030;588;220;85;290031
214;Conceição do Coité;100247;7082;7710;7830;6933;7158;8151;8040;6884;5790;5419;4269;3436;3037;2308;1526;792;422;158;44;290032
215;Serrinha;92140;6639;7192;7248;6773;6993;7579;7451;6060;5372;4726;3924;2848;2664;2056;1377;704;379;151;38;290033
216;Seabra;91216;6705;7303;7213;6685;6820;7156;6908;5486;5002;4684;3961;3116;2632;2232;1531;849;514;163;67;290034
217;Belo Horizonte;2643775;147111;157156;190991;198480;201507;212717;225491;186318;174929;164348;147813;118622;87997;59866;40678;24703;12135;3822;755;310001
218;Sete Lagoas;209314;11868;13211;14776;15512;16158;16512;16755;14404;14010;13645;11899;9399;6783;4689;3251;2002;838;273;51;310002
219;Santa Bárbara - Ouro Preto;131308;7869;8273;9692;10034;10307;10573;10687;9081;8316;8076;7052;5464;3917;2567;1916;1123;571;195;25;310003
220;Curvelo;91506;5495;6087;6304;6472;6482;6840;6940;6186;6135;6168;5339;4283;3205;2234;1586;933;442;142;35;310004
221;Itabira;77243;4484;4640;5277;5344;5612;5821;6166;5315;5319;5306;4439;3450;2667;1823;1338;858;415;118;27;310005
222;Montes Claros;377129;24306;26976;29607;28970;29260;30079;29493;24749;23090;21145;18031;14504;11414;8002;5126;3011;1359;422;130;310006
223;Janaúba;106189;7555;8061;8286;8354;8044;8548;8207;6353;6059;5646;4869;3631;3140;2091;1302;760;356;124;35;310007
224;Salinas;91476;6063;6832;6896;6774;6567;7062;6701;5872;5347;5017;4572;3780;3213;2276;1562;1002;477;165;57;310008
225;Januária;71387;5464;6011;5548;5140;5033;5390;4746;3997;3881;3801;3286;2769;2103;1638;1063;609;321;126;38;310009
226;Pirapora;67617;4589;4918;4719;4886;5127;5522;5481;4420;4111;3954;3450;2724;1883;1222;855;514;227;79;23;310010
227;São Francisco;51698;3958;4473;4406;3979;3904;3897;3577;2860;2787;2467;2184;1823;1532;1015;690;420;192;58;15;310011
228;Espinosa;46402;3021;3195;3060;2980;3086;3657;3527;2977;2980;2954;2645;2035;1633;1329;874;552;228;79;28;310012
229;Teófilo Otoni;231158;15757;17203;16761;15560;15731;16579;16878;14907;14133;13486;11965;10130;8020;6315;4541;2854;1411;468;146;310013
230;Capelinha;81217;5761;6576;6474;6111;6426;6537;6019;5032;4497;4460;3753;3032;2224;1640;1206;676;324;102;28;310014
231;Almenara;80741;5537;6174;5589;5313;5458;5793;5605;5196;4852;4904;4142;3450;3015;2163;1666;1054;506;154;77;310015
232;Diamantina;64114;4018;4600;4956;4872;5020;5012;4612;4030;3831;3924;3314;2668;1959;1518;1139;716;339;112;28;310016
