NOME_MUNICIPIO;UF;IDHM2010;IDHMRenda2010;IDHMLongevidade2010;IDHMEducacao2010;GEOCODIGO_MUNICIPIO;COD_UF;LONGITUDE;LATITUDE
Ananindeua;PA;0,718;0,684;0,821;0,658;1500800;15;-48,372067;-1,368714
Anápolis;GO;0,737;0,737;0,822;0,66;5201108;52;-48,957218;-16,328826
Anapu;PA;0,548;0,563;0,788;0,371;1500859;15;-51,201622;-3,476105
Anapurus;MA;0,581;0,511;0,764;0,502;2100808;21;-43,105793;-3,667035
Anastácio;MS;0,663;0,663;0,789;0,557;5000708;50;-55,804571;-20,48236
Anaurilândia;MS;0,67;0,676;0,826;0,538;5000807;50;-52,718169;-22,18265
Anchieta;ES;0,73;0,696;0,856;0,654;3200409;32;-40,647659;-20,805613
Anchieta;SC;0,699;0,703;0,8;0,608;4200804;42;-53,33327;-26,535681
Andaraí;BA;0,555;0,54;0,764;0,415;2901304;29;-41,324642;-12,801351
Andirá;PR;0,725;0,69;0,838;0,66;4101101;41;-50,226408;-23,051752
Andorinha;BA;0,588;0,586;0,731;0,474;2901353;29;-39,832336;-10,34424
Andradas;MG;0,734;0,731;0,878;0,617;3102605;31;-46,575583;-22,072807
Andradina;SP;0,779;0,762;0,885;0,702;3502101;35;-51,378848;-20,901464
André da Rocha;RS;0,72;0,738;0,837;0,605;4300661;43;-51,573738;-28,631977
Andrelândia;MG;0,7;0,675;0,818;0,621;3102803;31;-44,317699;-21,736968
Angatuba;SP;0,719;0,693;0,827;0,648;3502200;35;-48,40676;-23,483987
Angelândia;MG;0,597;0,594;0,756;0,473;3102852;31;-42,26645;-17,72779
Angélica;MS;0,697;0,692;0,839;0,582;5000856;50;-53,76973;-22,156063
Angelim;PE;0,572;0,555;0,751;0,448;2601003;26;-36,284814;-8,890374
Angelina;SC;0,687;0,699;0,797;0,581;4200903;42;-48,983476;-27,582257
Angical;BA;0,625;0,564;0,778;0,556;2901403;29;-44,695823;-12,006683
Angical do Piauí;PI;0,63;0,61;0,737;0,555;2200608;22;-42,743866;-6,087242
Angico;TO;0,648;0,576;0,773;0,612;1701051;17;-47,862078;-6,387753
Angicos;RN;0,624;0,606;0,756;0,53;2400802;24;-36,605433;-5,660365
Angra dos Reis;RJ;0,724;0,74;0,846;0,605;3300100;33;-44,319627;-23,009116
Anguera;BA;0,589;0,565;0,766;0,471;2901502;29;-39,248499;-12,149587
Ângulo;PR;0,721;0,705;0,827;0,644;4101150;41;-51,917365;-23,192904
Anhanguera;GO;0,725;0,724;0,802;0,657;5201207;52;-48,217404;-18,334366
Anhembi;SP;0,721;0,681;0,863;0,637;3502309;35;-48,126927;-22,786321
Anhumas;SP;0,741;0,683;0,845;0,706;3502408;35;-51,386074;-22,293237
Anicuns;GO;0,714;0,695;0,834;0,627;5201306;52;-49,959068;-16,460741
Anísio de Abreu;PI;0,594;0,534;0,768;0,512;2200707;22;-43,034853;-9,174919
Anita Garibaldi;SC;0,688;0,667;0,826;0,592;4201000;42;-51,131194;-27,683777
Anitápolis;SC;0,674;0,699;0,836;0,524;4201109;42;-49,131599;-27,909887
Anori;AM;0,561;0,54;0,757;0,433;1300102;13;-61,658955;-3,745386
Anta Gorda;RS;0,74;0,742;0,868;0,63;4300703;43;-52,015823;-28,970884
Antas;BA;0,592;0,573;0,739;0,491;2901601;29;-38,331042;-10,412702
Antonina;PR;0,687;0,686;0,838;0,564;4101200;41;-48,7129;-25,430166
Antonina do Norte;CE;0,599;0,55;0,772;0,506;2300804;23;-39,982387;-6,779688
Antônio Almeida;PI;0,62;0,579;0,781;0,527;2200806;22;-44,196535;-7,219356
Antônio Cardoso;BA;0,561;0,544;0,768;0,422;2901700;29;-39,118662;-12,434839
Antônio Carlos;MG;0,683;0,65;0,838;0,584;3102902;31;-43,755641;-21,31858
Antônio Carlos;SC;0,749;0,768;0,89;0,615;4201208;42;-48,76496;-27,513371
Antônio Dias;MG;0,645;0,624;0,849;0,507;3103009;31;-42,869545;-19,651467
Antônio Gonçalves;BA;0,598;0,58;0,741;0,498;2901809;29;-40,275659;-10,575798
Antônio João;MS;0,643;0,633;0,799;0,526;5000906;50;-55,948082;-22,194685
Antônio Martins;RN;0,578;0,554;0,76;0,458;2400901;24;-37,885735;-6,216004
Antônio Olinto;PR;0,656;0,626;0,825;0,547;4101309;41;-50,197947;-25,986706
Antônio Prado;RS;0,758;0,777;0,835;0,671;4300802;43;-51,283577;-28,855438
Antônio Prado de Minas;MG;0,684;0,674;0,83;0,572;3103108;31;-42,109343;-21,018232
Aparecida;PB;0,578;0,567;0,747;0,456;2500775;25;-38,083338;-6,783695
Aparecida;SP;0,755;0,735;0,828;0,706;3502507;35;-45,229429;-22,848154
Aparecida de Goiânia;GO;0,718;0,716;0,834;0,62;5201405;52;-49,243326;-16,822147
Aparecida do Rio Doce;GO;0,693;0,7;0,814;0,583;5201454;52;-51,151492;-18,296984
Aparecida do Rio Negro;TO;0,651;0,593;0,791;0,588;1701101;17;-47,97667;-9,955878
